Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,ROE %,Price/CF,Debt/Equity,1-yr %Rev. Chg.,Price/Book Value
Parkson Retail,O9E,PRAL.SI,4.741,338.528,,,Retailers,53,40,-12.5,-22.22,-41.67,-13.43,-457.16,0.2,46.05,-17.49,0.32
ParkwayLife Reit,C2PU,PWLR.SI,2099.357,116.701,17.63,,Real Estate,76.6,5.15,1.17,6.77,15.67,102.02,10.32,,60.39,2.9,1.55
Pavillon,596,PAVI.SI,7.367,12.988,21.84,,Cyclical Consumer Services,29,35.71,5.56,-24,-20.83,9.73,1.07,2.17,0.75,-9.67,0.3
PEC,IX2,PECL.SI,113.793,484.189,11.27,4.49,Energy - Fossil Fuels,50,-3.26,-19.09,-23.28,-24.58,2.36,4.35,4.66,8.19,27.3,0.63
Penguin Intl,BTM,PGUN.SI,110.085,136.337,5.67,3.5,Transportation,52,-1.96,-23.66,-28.06,9.89,14.24,12.14,3.74,0.71,27.1,0.43
Perennial Hldgs,40S,PERE.SI,1123.972,124.22,293.48,0.3,Real Estate,100,48.35,37.76,25,5.47,4.39,0.14,51.31,108.61,58.73,0.38
Pharmesis Intl,BFK,PHAR.SI,4.83,7.38,,,,43,27.27,-6.67,-16,2.44,-51.76,-23.19,,16.62,-42.17,0.32
Pine Cap,ADJ,PINC.SI,6.643,1.674,,,Banking & Investment Services,38,,,,,-268.22,-104.34,,0,-13.53,1.26
Plastoform,AYD,PFML.SI,0.521,2.691,,,Technology Equipment,6,,,,,-54.7,,,,-66.27,
Plato Capital,5PI,PLAT.SI,9.735,0.968,,,Software & IT Services,48,-1.96,-36.71,-47.37,11.11,-242.82,-1.81,,25.52,-18.76,0.24
PNE Industries,BDA,PNEI.SI,67.973,102.183,8.35,6.17,Industrial Goods,47,5.1,2.47,-10.8,10.7,7.97,9.91,7.56,0,27.98,0.83
Polaris,5BI,POLA.SI,68.213,54.361,200,,Retailers,30,33.33,33.33,300,33.33,0.47,0.55,72.57,7.52,135.76,0.85
Pollux Prop,5AE,PLPS.SI,35.873,14.937,5.16,,Real Estate,26,-51.85,-60.61,-74.51,-45.83,46.65,3.65,4.77,89.93,,0.45
Powermatic Data,BCY,PMDS.SI,85.927,26.504,8.34,2.08,Technology Equipment,37,12.15,-4,-12.73,43.5,37.98,17.17,8.16,0,56.18,0.98
Prime US ReitUSD,OXMU,PRIE.SI,785.347,,,,Real Estate,,0.68,-21.99,-24.37,,,,,,,
Procurri,BVQ,PROC.SI,77.705,221.289,20.03,,Software & IT Services,52,1.92,3.92,-41.76,-11.67,1.71,6.52,5.22,20.4,0.48,1.11
Progen,583,POGN.SI,4.686,9.522,,,Industrial & Commercial Services,55,0,-42.86,-47.83,-72.73,-23.71,-6.92,,0,333.02,0.62
PropNex,OYY,PROP.SI,190.55,481.243,7.44,3.88,Real Estate,,8.42,-5.5,0.98,0,5.61,35.14,6.18,4.59,19.42,3.09
Prudential USD,K6S,PRU.L,27314.736,76108.945,17.16,3.44,Insurance,,-1.51,-17.36,-23.94,-24.15,2.08,9.38,15.43,73.06,161.5,1.8
PSL,BLL,PSLL.SI,2.06,2.831,,,Industrial & Commercial Services,27,2.78,-60.22,-65.09,-69.17,-18.3,-2.7,7.86,0,-55.73,0.25
Q&M Dental,QC7,QMDT.SI,366.224,127.963,19.9,6.2,Healthcare Services,56,-5.21,1.11,-7.14,-8.08,14.21,15.46,11.32,78.29,5.92,3.55
QAF,Q01,QAFS.SI,440.08,863.892,15.96,6.54,Food & Beverages,62,-6.71,-7.83,-3.77,-0.65,3.27,5.41,6.01,21.5,6.02,0.66
Qian Hu,BCV,QIAN.SI,13.737,76.915,14.92,2.48,Food & Beverages,92,-6.92,-19.33,-20.92,-24.38,1.23,1.88,3.42,36.21,-10.22,
QT Vascular,5I0,QTVA.SI,6.706,11.273,,,Healthcare Services,49,-25,-25,0,0,-122.43,-74.3,,13.5,-28.76,0.61
Raffles Edu,NR7,RLSE.SI,109.384,101.286,1.62,,Industrial & Commercial Services,44,-2.6,-9.64,-14.77,-13.79,64.13,10.56,1.37,60.81,4.76,0.27
Raffles Infrastructure,LUY,RAFL.SI,25.825,37.179,2.98,,Industrial & Commercial Services,30,15.15,15.15,61.7,-12.64,19.13,15.99,3.63,0,0.01,
Raffles Medical,BSL,RAFG.SI,1701.26,522.038,28.03,2.69,Healthcare Services,64,6.9,-6.53,-6.53,-8.82,11.59,7.34,18.95,14.55,6.73,2.47
RE&S Hldg,1G1,RESH.SI,25.488,130.389,,6.25,Cyclical Consumer Services,67,-10,-44.19,-53.55,-60,-4.2,-16.09,1.47,29.67,-8.64,1.79
Reclaims Global,NEX,RECL.SI,41.92,34.213,26.62,,Industrial & Commercial Services,,0,-3.03,28,45.45,4.56,7.99,10.3,0,8.3,
Reenova Investment,5EC,REEN.SI,13.222,0,,,Banking & Investment Services,34,50,50,0,0,,-19.98,,5.73,-100,0.75
Regal Intl,UV1,REGI.SI,3.149,16.691,,,Real Estate,28,27.27,-6.67,16.67,-48.15,-70.8,-81.62,,118.56,-57.33,1.12
Renaissance United,I11,RENA.SI,6.181,57.322,,,Utilities,17,0,0,-50,-50,-63.52,-64.73,,23.95,-10.03,0.17
Resources Gbl,QSD,RESU.SI,18.9,84.425,20.61,,Energy - Fossil Fuels,,0,0,,,1.19,,4.87,,88.63,
Resources Prima,5MM,RESO.SI,49.135,0.089,,,Energy - Fossil Fuels,61,,,,,-3985.71,,,,-93.07,
Revez,RCU,REVE.SI,56.95,5.614,,,Software & IT Services,,-2.86,36,23.64,,-216.96,-403.86,,,1045.35,
Rex Intl,5WH,REXI.SI,203.904,0.191,7.28,,Energy - Fossil Fuels,72,35.96,-20.1,-15.3,167.24,16465.93,14.94,6.1,22.2,-66.83,0.44
RH PetroGas,T13,RHPG.SI,13.217,92.584,3.99,,Energy - Fossil Fuels,35,12.5,-28,-35.71,-55,-1.63,,0.84,,15.14,
RHT HealthTrust,RF1U,RHTH.SI,15.417,-67.135,,226.32,Real Estate,46.2,0,0,0,-5,,-16.42,,52.91,-174.04,0
